text,emotion,updated_emotion
"I was just on vacation in Biloxi. While hanging out on the balcony, I dropped some chips and then the balcony was swarmed by seagulls.",terrified,very negative
"My mom took away my game system, and would not give it back ever again.",furious,very negative
One of my friend didn't keep this promise he made to me.,disappointed,negative
There were times where I was being seduced by a coworker of mine.  I remained committed to my wife and did not cheat.  It was a good decision.,faithful,positive
"I look out for all my students, if they are struggling, I take however much time they need to understand.",caring,positive
"I felt sad when my dog passed away. It was a pet that I had since I was 3 years old, and was one of the saddest days of my life.",sad,negative
"Yesterday, I was really craving Dairy Queen. So, I got in my car and went to grab some Blizzards. When I got there, they were closed. ",disappointed,negative
A situation when I felt grateful was when I had a flat tire and my father came to help me with it.  I felt grateful to have family around to be there for me.,grateful,very positive
Every year on my kids birthday's I think back on when they were born. I remember all the sweet smells and sounds of them as a baby.,sentimental,positive
When I was little and I found out that we were going to the amusement park . ,excited,very positive
My wife and I took a 3 week trip to New Zealand last year.,excited,very positive
I felt caring when I had to pick up and take care of my ailing cousin. His stomach felt bad and he was vomiting all over the place. I helped clean him up and gave him some medicine to make his stomach go back to normal.,caring,positive
"Two years ago, i was admitted in hospital. I was not well. I felt afraid whether i would be alive. But fortunately, i am live",afraid,very negative
I am so annoyed by my new manager at work. He always lies to us. ,annoyed,negative
"Lending my vehicle to a friend, which I never do.",trusting,very positive
I just went for a shopping spree and bought a $2000 bag,guilty,very negative
"Had to wait in line forever to check out at walmart , horrible",disgusted,very negative
I had a co-worker open at my jb and instead of getting anything done she spent the enitre time on the phone. When I got to work I had to do her job and my own. ,furious,very negative
Recently my manager lied to us. He changed our money and took the bonus away. ,angry,very negative
"I was in a situation where I missed out on making some money, that caused me not to be happy.",sad,negative
We were getting ready to move back to our hometown after nine years away. I could not wait to be back close to family and friends.,anticipating,positive
I was reversing the car in the roadside. I had bumped into the car which was parked behind. I had to wait for so long to speak to the car owner,anxious,negative
When my partner went out of her way to make my day better. with gifts. ,nostalgic,positive
I woke up early today for work. My children were still up watching cartoons!,surprised,positive
"Finally got some yard work done , Love the smell of fresh cut grass.",proud,very positive
"When I realized all the chocolate was gone, after a long day. ",sad,negative
"My daughter, who has a fear of water, has learned to swim this summer! She still gets a little nervous, but overall she loves it!",joyful,very positive
I am concerned about the financial situation of my employer.,afraid,very negative
My ex girlfriend cheated on me with one of my closest friends. It made me very angry at the both of them.,angry,very negative
I heard a car outside that sounded like it wrecked yesterday. It sounded  awful.,anxious,negative
I was getting in a Taxi and noticed someone had thrown up in the backseat.,disgusted,very negative
I Felt hopeful when I met my betterhalf for the first time. She gives me hope for my remaining life without saying anything. I feel hopeful after my marriage. ,hopeful,very positive
I came across an old keychain that my dad gave to me when I was younger. It was cool. ,sentimental,positive
"My handyman keeps telling me he's coming by to fix my sink, but then he doesn't show up. Ugh.",furious,very negative
I was jealous when my co worker kept getting top spot when i knew he was cheating. ,jealous,negative
"When i was in High school, I was in the all state band. I was very confident.",confident,very positive
I am happy to have a good vacation,content,positive
"My daughter used the potty for her first time the other day, it was awesome. ",proud,very positive
The other day my daughter knew to throw away her food when she was done. ,impressed,very positive
i am angry against a friend that suppose to help me.,furious,very negative
"I remember getting prepared for my trip to peru, it was crazy! ",prepared,positive
I let my friend borrow my debit card the other day. She needed to put gas in her car for work. She brought it right back.,trusting,very positive
I thought my company was going to have a lay off. it was a tough few weeks.,afraid,very negative
The other day I was surprised with a big bonus from work. ,surprised,positive
I was going to see the new Marvel movie. On the way I got really pumped up.,excited,very positive
"My neighbors left town and the weeds are so high, I'm afraid snakes might start living over there.",furious,very negative
Today is my birthday. I can't wait to see who calls me. Or my gifts.,anxious,negative
when i moved into my apartment it was full of bugs! ,angry,very negative
I was disappointed by my manager when he told that I will probably get my promotion next year (not this year),disappointed,negative
I get to go out today after work! yay,excited,very positive
I ripped my pants on bourbon street the other day. Luckily I was wearing a long shirt.,embarrassed,negative
I was driving down a road at night and my car died. I sat in a car with not lights for hours.,terrified,very negative
I cant wait for my house to sell.. its a slow market. ,hopeful,very positive
I have been in college for four years and am only a sophmore. I am going diuble my work load and finish next fall.,hopeful,very positive
I am annoyed by a coworker making joke about me.,annoyed,negative
My daughter hit her head the other day. she was sad. ,caring,positive
My next door neighbors are always arguing in our shared hallway. Now they have a baby and the scream while she cries. It is so annoying.,annoyed,negative
I was drivng home and this guy cut me off. I had to swerve in order to not hit him.,furious,very negative
"I was lost in a neighborhood I didn't know, when some guy came up to me and quietly asked if I needed a ride.",afraid,very negative
"I really want to win the lottery someday, maybe i will? ",hopeful,very positive
I will pass a examen next monday. I reviewed all the content for the course,prepared,positive
I was given a large raise at work.,grateful,very positive
I've lost my job and am behind on my mortgage. It scares me that I could lose my home.,terrified,very negative
Today is my birthday and I am going to party this weekend!,excited,very positive
I lied to the people I work out with. I told them I was out of town but I relaly just did not want to work out.,ashamed,very negative
Someone offered me a job online to make a lot of money. ,apprehensive,negative
i applied for 200+ jobs and still didn't hear from none of them!,surprised,positive
I ate all my kids cookies and blamed it on the dog.,guilty,very negative
No one ever visits me anymore. I am always by myself in this apartment.,lonely,negative
"not living near family, being in a new place. ",lonely,negative
I saw a snake outside my apartment today,disgusted,very negative
I just found out they are not making a sequel to a movie I like.,sad,negative
I was able to save a blind lady from falling down an escalator.,proud,very positive
"missing money from my paycheck, wrong hours and bonus again! ",furious,very negative
"I was mowing the lawn, and a rock flew and broke my neighbor's window.",ashamed,very negative
I used to think I had gotten to big to wear a swimsuit. I went to the beach last week and those ladies were really flaunting their stuff. I have a once piece now.,confident,very positive
A few years ago when my grandmother died unexpectedly.,sad,negative
I feel bad that I work too much and dont see my daughter. ,guilty,very negative
My friend called someone a bad name.,disgusted,very negative
My fence is collapsing at areas where my neighbors keep climbing over to get their ball. It's going to be expensive to fix.,annoyed,negative
I cant wait to relocate again. ,anxious,negative
"My brother usually doesn't do anything for me unless asked. After 3 decades, he actually took me out for my birthday.",surprised,positive
My texted me happy birthday yesterday. My birthday is today.,disappointed,negative
"I went to the optometrist, and my prescription got strong. She warned me about being at risk for losing my vision.",afraid,very negative
My old high school is being turned into an old people's apartments building. So sad. ,nostalgic,positive
I was grateful when my mother visited me for my birthday.,grateful,very positive
when i had to say goodbye to my dad,devastated,very negative
I turn 29 today! It is a great day since its my birthday,joyful,very positive
getting ready for irma ,prepared,positive
My neighbor went back to school at 59. She just got her bachelor's this year.,impressed,very positive
I shouldn't have to cook on my birthday. This is when I miss having a boyfriend.,sad,negative
My friend's boyfriend got into an accident 5 years ago. She's still with him.,faithful,positive
I got pulled over and almost got a ticket.,afraid,very negative
"I've been taking care of my aging mom for 5 years now and don't really have any friends, since so much time is used taking care of her.",lonely,negative
"I saw a little turtle about to get hit on the road the other day and I was in a hurry and didn't stop and get him. I hope he made it across the road, poor little guy.",guilty,very negative
"My mom has arthritis in her neck, and the pain seems to be traveling down now.",sad,negative
in a hurry to go on vacation! ,anxious,negative
I was sent to close a deal with a client.,confident,very positive
I once saw a snake in the woods and got very scared.,afraid,very negative
My mom went back to school at 63 and recently got her bachelor's in computer science!,proud,very positive
"I finally finished my phlebotomy class. It was an hours drive one way, yuck. But thankfully it's over and I can try to get on at a local Hospital. They are hiring I heard.",grateful,very positive
Had a interview yesterday. I think it went pretty well. I hope I get the job.,anticipating,positive
I bought a lottery ticket and was hopeful I would win.,hopeful,very positive
"My birthday was last weekend, and no one wished me a Happy Birthday.",sad,negative
I was thrown a surprise party for my 30th birthday.,surprised,positive
I was told my cat only has a few weeks to live.,sad,negative
when someone tried to get me to go out to a bar behind my spouses back ,faithful,positive
My friend just bought a brand new car. My car hasn't worked for months,jealous,negative
when my dog died ,sad,negative
Went out with my friends last night after not seeing each other for a year. I was in another country for work and just got back.,joyful,very positive
"I'm trying to sell my house. It's been on the market for a year now, but I think I found someone who might buy it.  I'm trying to move to another area.",hopeful,very positive
I'll get to go on vacation tomorrow. Been working really hard to get things clear up so I can enjoy myself.,excited,very positive
when i offered to work extra hours to make up for bills ,caring,positive
"Just moved here for work, and I don't know anyone. My coworkers have families of their own.",lonely,negative
I went to the grocery store the other day. I shopprf got sn hour then realized I had left my purse home.,embarrassed,negative
waiting for christmas! ,anticipating,positive
Went for a visit to the place I grew up and it has gone down hill a lot since I was there last. Very sad. A lot of the houses look so run down and dilapidated. ,nostalgic,positive
I was thrown a party yesterday and had no idea it was happening.,surprised,positive
My daughter started a new school last year. She s adjusting great and had made a lot of friends.,proud,very positive
When I was a child and found out my friends could come over. ,surprised,positive
When i was moving and lost my insurance to my car. ,terrified,very negative
I did not get the promotion at work that I wanted.,jealous,negative
My neighbor's kid just lost his eyesight. The whole family is devastated.,caring,positive
I once went to see fireworks with my best friend. Best day of my life. We're no longer friends.,sentimental,positive
"My child lied to me, and went somewhere he shouldnt have went. ",furious,very negative
I saw that they are going to remake a movie I like a lot.,nostalgic,positive
There was once a mouse in my  kitchen. I almost died.,afraid,very negative
I think my job will lay us off. ,afraid,very negative
I finally rearranged the garage after a year of putting it off,proud,very positive
I lost my cat to old age and cried all night about it.,sad,negative
I always donate my change when I shop at my local drug store. Makes me feel like I' doing something good.,caring,positive
I lost my wallet and had to get all new cards,sad,negative
to go to a concert. ,excited,very positive
When the Falcons won the game I was excited.,excited,very positive
Our lights went out last week during a storm. Its was only for 15 minutes but I was so scared.,afraid,very negative
I was impressed by the new Tesla.,impressed,very positive
i changed my own oil ,impressed,very positive
I wish I had someone to spend my days with. I feel a alone.,lonely,negative
when my daughter choked on a piece of food ,afraid,very negative
I went to class and I brought extra supplies since I knew we had a test.,prepared,positive
I was sad when my grandma died.,sad,negative
"When I was little, I was afraid of the dark.",afraid,very negative
I went to a cheerleading event and a girl did a double backflip,impressed,very positive
I was surprised when I was accepted into Harvard.,surprised,positive
my wife keeps giving our son a stick and he keeps hurting himslef.,annoyed,negative
I am afraid of clowns.,afraid,very negative
I was attavked by seagulls on the balcony of a hotel last weekend. I was eating crackers.,terrified,very negative
I got in my car and my son left a note on my seat.,surprised,positive
I am ashamed when I cheated on the test.,ashamed,very negative
"I'be been thinking a lot about my childhood lately, sort or reminiscing.",sentimental,positive
I am grateful to be alive.,grateful,very positive
I went swimming in the pool and some of my extensions came out in the water. No one saw but me.,embarrassed,negative
I am terrified of ghosts.,terrified,very negative
I am prepared for the hurricane.,prepared,positive
I got a huge bonus at work and was able to pay off my debt.,grateful,very positive
Some left their garbage outside of the dumpster in my apartment complex. Now at night there are a bunch of raccoons outside.,angry,very negative
I am hopeful I win the lottery.,hopeful,very positive
My friend is annoying me.,annoyed,negative
I was joyful when my son was born.,joyful,very positive
I can't wait for HAlloween. It is my favorite holifay. I love dressing up with the kids.,anxious,negative
I went to pick up my date and was very clam and collected.,confident,very positive
I am proud I graduated college.,proud,very positive
Got asked to my boss' office. Thought I was getting bad news but turns out I was offered a promotion.,surprised,positive
I am confident I will pass the test.,confident,very positive
I think eventuallt the presidency is going to go in a more positive direction,hopeful,very positive
I let my new neighbors borrow our lawnmower. It came back broken.,trusting,very positive
I ordered McDonalds yesterday and since my lazy daughter wouldn't get out of bed I ate her food. I kind of fell bad about it.,guilty,very negative
I am ashamed I lied to the police.,ashamed,very negative
I am ready to go to a amusement park with my son.,excited,very positive
Went to the beach the other day and remember how much my friend liked going together.,sentimental,positive
I ordered $20 in Krystals the other day. It was terrible.,furious,very negative
I am disgusted that the criminal got away.,disgusted,very negative
I am embarrassed when I forgot my lines in the play.,embarrassed,negative
I got stock from family a long time ago. I just let it sit there. It's risen 10 times since.,grateful,very positive
I lost my keys at work and looked stupid searching for them.,embarrassed,negative
"I just applied for a promotion, and I should earn at least 10k more.",hopeful,very positive
I was going through old photos of my family and when I was younger.,nostalgic,positive
My cousin just got out of a 7 year relationship. Turns out she was cheating for the last 3 years.,caring,positive
I'm sad that game of thrones is ending. Great shows should last forever like the simpsons.,disappointed,negative
The summer is almost over. I couldn't be any happier!,joyful,very positive
I was content getting a B on my exam.,content,positive
We have a work presentation coming up soon. I think we've got everything to present.,prepared,positive
My wife and I are going on vacation next week. We're satying in a cabin in West Virginia.,excited,very positive
"One time I met a girl from Tinder and I really thought we were hitting it off. We met up and had a great time, but then she ghosted me right afterward.",disappointed,negative
seeing photos of my hometown,nostalgic,positive
I'm doing a drink a paint session this weekend. I can't wait. It's goin to be fun!,anxious,negative
I am jealous of The Rock.,jealous,negative
I was afraud ny son wasn't going to be able to talk because he didn't for so long. Now he won't shut up and I am so happy!,proud,very positive
I was surprised when Trump won the election.,surprised,positive
When I lost my job. ,afraid,very negative
Lies,angry,very negative
I had a girl that I was seeing one time and she asked if I wanted to come with her to meet one of her friends. I went along and the way she talked to her was so much more passionate and energetic than with me and it made me wonder what he has that I don't.,jealous,negative
I was prepared for the History test.,prepared,positive
"I texted one of my old buddies from years and years ago and he not only responded, but we met up for lunch yesterday and had a great time! Now we're gonna hang out again on Sunday and I'm so pumped!",excited,very positive
 I was devastated when the Falcons blew the Super Bowl.,devastated,very negative
I am excited for football season.,excited,very positive
I was apprehensive to get married.,apprehensive,negative
"I let my cat out for the evening , the first time I left her outside at night and she didn't come back. ",devastated,very negative
I've been in my crappy apartment so long. I think just used to it now.,content,positive
"I went on my first date ever only about a month ago. Even though I knew this girl really well beforehand, I was still really worried that it would be awkward and that I might mess it up.",anxious,negative
I am scared of how I will die.,afraid,very negative
I am ready for hockey season.,excited,very positive
My kids are the best. They get excited about everything. I think I had some good ones.,grateful,very positive
My transmission went out in my car. My dad loaned me $500 to get it fixed. ,grateful,very positive
Had HELLP syndrom with first child.  Spent all 9 months being pregnant with 2nd child worrying about the same thing happening.,apprehensive,negative
I hate seeing new cars on the road. My car won't even move.,jealous,negative
I am always alone in the summer.,lonely,negative
I was driving past the elementary school that I went to years ago and I decided to go through the parking lot for a few minutes. I saw all the old buildings and even the old playground and it really surprised me as to how little it has changed.,nostalgic,positive
My sister in law basically lives off of my mother in law and her kids get everything. My mother in law rarely gives our kids anything because we have the money to do it ourselves - and I get a bit miffed at times.,jealous,negative
I really like our new football coach.,impressed,very positive
I am happy to be an American.,proud,very positive
"We tried for a baby for a long time, almost 4 years.  Waiting those 9 months to meet her were so hard!",anticipating,positive
I feel bad I stole the cookie.,guilty,very negative
I passed all of my classes last semester. I had been struggling in college for a while.,joyful,very positive
I have a job interview coming up next week. I'm a little nervous about it.,anxious,negative
MY ex didn't show up to court again. He is always wasting my time.,angry,very negative
I am ok with being fat.,content,positive
I am excited for the baseball playoffs.,excited,very positive
I was on jury duty for three months recently and it was very interesting and kind of fun. I was surprised.,impressed,very positive
I am shocked it hasn't rained today.,surprised,positive
We've had some big rain storms where I live this spring and summer. The creek behind my house got almost in the yard twice already. Very scary.,terrified,very negative
I was very furious the other day when someone scratched the backend of my car.,furious,very negative
"I really got close with a girl that I met from Tinder, to the point where we were ""dating"". Then randomly, after like 4 days, she says that she doesn't want to date anymore and then just stops talking to me.",sad,negative
We recently went on vacation with some friends to Disney world.  They had never been before and we are annual passholders so we have been several times over the last year.,confident,very positive
"I recall this time when I was making a pizza and I got an important call from my boss. I had to talk with him for about 15 minutes and when I came back, I realized the pizza had been burnt in the oven. I was very annoyed because I worked hard to make it!",annoyed,negative
I was very afraid in airplane because of turbulence.,terrified,very negative
"I recall a time when I had to go to my cousin's birthday part, and I overslept! I felt really guilty about that.",guilty,very negative
"When I was driving home from my first job it was snowing. I accidentally hit a curb and spun into the other lane and almost into a ditch, I was very scared",afraid,very negative
"My Aunt had an emergency and dropped her son with me, I took care of him.",caring,positive
My brother recently applied to an Ivy League school. We just found out he was accepted.,impressed,very positive
"I am trying to sell my house for 89k dollars, I have been in a bad financial situation, my nephew knows it, and now he is trying to buy my house just for 75k, trying to take advance of my situation ",sad,negative
"When my brother graduated high school, I was very proud of him, it was a big accomplishment",proud,very positive
When I got the results back to all my finals for last semester of college. I thought I might fail but I passed all my classes.,joyful,very positive
"It's been so dry in my area lately , I'm afraid there might be some forest fires. I live near a mountain. ",afraid,very negative
"My friend is such a narcissist sometimes. He seems to think that he is the best looking, strongest guy ever and he constantly tries to brag about it to me and compare himself to me.",annoyed,negative
"I have always been faithful to my girlfriend of almost 3 years, which I am proud of",faithful,positive
i know i can lose weight,confident,very positive
When I was a child I was chased by a pitbull and I was very afraid. Dogs had always scared me at that age,afraid,very negative
"I remember waiting for the Nintendo Switch to come out, I was so excited, I still love using it every day!",anticipating,positive
i was devastated when my favorite world cup team was knocked out of the tournament. ,devastated,very negative
I slipped while carrying a tray of coffee. I got it all over myself.,embarrassed,negative
I was surprised when my parents picked me up from work in a new car for me. I did not expect that at all!,surprised,positive
I situation in which I felt alone was when my partner left me.,lonely,negative
"When I was in preschool, my pants fell down in class. I was laughed at a lot",embarrassed,negative
"When I was younger my dad scared me and my brothers when we were trying to sleep, I almost wet the bed. I was very terrified",terrified,very negative
When my grandmother passed away I was so sad. I was only 13 years old,devastated,very negative
There's been a big white wolf or coyote coming in my yard lately. I am afraid it will kill the neighbors cats. ,disgusted,very negative
A friend of mine recently got married. I hadn't even know he was engaged!,surprised,positive
My dad had a problem with drinking and it created problems. When he finally quit I was very proud.,proud,very positive
"My friend's parents are missionaries and therefore go to Africa all the time, so it was no big deal when I heard he was going to Samoa for a while. What I didn't know is that he was actually moving there for a few years, which I really didn't expect.",surprised,positive
I broke a vase at my mom's house and hid it. I still haven't told her about it.,guilty,very negative
My dad accidentally got into rat poison and died.,devastated,very negative
My friend got a huge scholarship when he barely passed the PSAT. I was quite jealous that I was unable to do the same thing.,jealous,negative
Once I realized that I needed at least a 31 on my ACT in order to get a nice little scholarship for college. I studied my heart out to improve my 29 and I felt super confident that I'd get the 31. Instead I actually got a 33!,prepared,positive
"My friend took some of my money without asking. When they confessed I wasnt mad, just disappointed.",disappointed,negative
Today going to the dentist I was going to have my first root canal done ever along with three other teeth worked on. I knew I would be numbed but that came with the price of a needle being used. I was very nervous and worried.,terrified,very negative
As a child i was sitting in my parents car and a storm started. I was just playing my gameboy and the car started to shake. A log went right through the car window after a couple of minutes of the storm starting.,terrified,very negative
"Back in freshman year of college, I really wanted to room with my brother even though he was not a freshman but a sophomore. I was really rooting for that to happen but instead I got roomed with some random guy.",hopeful,very positive
We moved to a new house last year and love it - and have spend much less working on projects and more time with the kids.,joyful,very positive
When i was young i was pretty hyper. But when we had a connect four tournament at my school i back seated someones match. I didn't point anything out really but they gave them a lose and it got me really mad i threw a chair in class.,angry,very negative
"Back in October of last year I had my first drink. At that time I had never drank or tried any drugs or anything, so I was very nervous about trying anything mind altering like that.",apprehensive,negative
"My friend just came over yesterday and talked about how he met a super great girl and is going on a date with her sometime soon. Although I'm super happy for him, I can't help but wish I could be in a relationship myself.",jealous,negative
I felt confident when I won the honor society election in high school. I beat someone way more popular,confident,very positive
My kids were being bad and I yelled at them.,guilty,very negative
 I was surprised when my parents bought me a car. I did not expect it at all,surprised,positive
I was shocked when I got a new car. My parents surprised me so well!,surprised,positive
I had one time where I was at a party and a girl started to act really flirty with me and we were both kinda drunk. I had a girlfriend at the time so I made sure to let her know so that she didn't get the wrong idea.,faithful,positive
"I asked my 7 year old what 12x12 was the other day, and he gave me the correct answer.",impressed,very positive
When i was younger i wanted a gamecube for my birthday. On my birthday my parents told me to clean the bathroom. Ended up in the bathroom was a gamecube with 4 games. ,surprised,positive
I participated in my high school runners' marathon and came in 2nd place. I felt very proud because I trained hard for it.,proud,very positive
I was proud of my brother when he graduated high school,proud,very positive
"Whenever my girlfriend at the time broke up with me and ghosted me, I had no idea what to make of the situation. I never would've expected her to do that, since she seemed really into me.",surprised,positive
"Recently I met up with a friend that I knew years and years ago and I learned that he actually bought his house from his mom. We went there and had a few beers and it looked exactly the same as before, even smelled the same.",nostalgic,positive
I was sad when my grandmother passed away. I was still a child,sad,negative
I have a long term girlfriend. I have never or will never cheat on her,faithful,positive
I was in college for 8 years. I didn't get done until the end of 2017. I graduated high school in 2009 felt so proud when i was done with school.,proud,very positive
I have been faithful to my long time girlfriend. I would never cheat on her,faithful,positive
My sister is coming from France to visit us. I am happy to see her again.,joyful,very positive
I just started working out and wasn't sure how to start.,apprehensive,negative
"I was in morning rush hour traffic, and the driver in front of me was putting on makeup. Her complete lack of attention meant that she did not notice when the car in front of HER moved, and we missed the light.  It is a LONG light that we had to sit through AGAIN. Ugh!",annoyed,negative
"Once, I tried hard to update my CV as per the job description and applied for a good position, however my CV didn't even pass the screening level.",disappointed,negative
Lately I have been very upset and worried about my financial situation. The stress has been quite overwhelming.,terrified,very negative
I saw that my coworker left food in the fridge and hat not eaten it in 2 days. I ate it myself and I felt bad,guilty,very negative
I was confident when I beat this popular girl in the class elections in high school. I expected to lose badly,confident,very positive
I was surprised when I went on a beach trip and my good friend from Florida was there but we lived two hours away by plane.,surprised,positive
I am surprised England Lost to Croatia on the World Cup,surprised,positive
my parents let me live with them. They do not charge rent so I am very appreciative of them,grateful,very positive
When i got my first job in retail i was scared on the interview. But as i got there i took a deep breath and went in. I felt really confident after that and got the job.,confident,very positive
I once broke a fax machine my parents spent a lot on. I felt bad about it since it wasn't what i meant to do. He ended up throwing the Fax machine around the room.,guilty,very negative
I met with an accident once. Kindhearted passerby saved my life,grateful,very positive
I was angry when my brother ruined the result of a football game. I recorded it to watch later,angry,very negative
I am excited tomorrow is my birthday,excited,very positive
"I was lonely as a teenager, I had no girlfriend and few friends. I was sad often",lonely,negative
I am so proud about myself. I just got promoted.,proud,very positive
playing my gameboy makes me nostalgic. i love pokemon emerald the most,nostalgic,positive
Someone rear ended me a few months ago. I was very upset because I had places to be,furious,very negative
I was terrifified when my dad scared me as a kid. I have to admit he was good at it,terrified,very negative
"Last winters, I went uphill and took a 2 hour Skiing classes which really helped to enjoy Skiing there after",confident,very positive
I hope the nintendo switch get madden on it. I love portable football games,hopeful,very positive
I felt joyful when my wife and I decided to go to the lake today. This situation has made me feel really happy because I love swimming. ,joyful,very positive
"My husband cut his hand while working in the yard. He came inside and needed a bandage. I was able to care for his wound with alcohol, gauze and a bandage. I joked with him and made him smile.",caring,positive
When i was young i loved Jurassic Park. Family went down to Florida to the universal park. I was so hyper and happy to get on that ride for the movie.,excited,very positive
I have tried really hard to make my new business work. It's been a very slow start.,disappointed,negative
"On my birthday, no one showed up to the celebration. I had dinner by myself in my apartment.",lonely,negative
"I was out hiking, and came very close to stepping on a rattlesnake. There was not an easy way to get around it, so we had to backtrack and cut through some heavy brush.",terrified,very negative
I recently wore a bikini to the beach after losing 20 lbs. I felt amazing!,confident,very positive
My grandmother is getting out of the hospital,joyful,very positive
I hope the immigrants children get reunited with their families,hopeful,very positive
I was very sure of myself when applying and getting into physical therapy school.,confident,very positive
I am so jealous of my co-worker.He got the promotion I had my eye on it.,jealous,negative
When I was gifted my laptop for christmas,joyful,very positive
Once my little cousin got into my room and pour coke onto my keyboard. He didn't mean to do it but the coke ended up spilling off the desk into my computer. Fried the computer and i was just so mad!,furious,very negative
I had an interview the other day for a part-time-job and am hoping I get it! ,hopeful,very positive
I am so annoyed that France is in the world cup final.,annoyed,negative
I am so surprised Roger Federer lost his match on Wimbledon ,confident,very positive
"Shortly after I got married, my wife and I decided that we wanted to have kids. When we found out she was pregnant, we couldn't wait to find out if we were having a boy or a girl.",anticipating,positive
When my mom recently offered to help me with a medical bill. I was very stressed out because I had to have surgery and had a high deductible. She really helped me out a lot.,grateful,very positive
"When I was working for my last company, I used to travel a lot and frequently used to miss my family and friends",lonely,negative
Can't wait for my vacation to Las Vegas tomorrow,excited,very positive
"Last night, I dreamt that I was riding around the road on a motorcycle, and at one point almost fell of making a quick sharp turn. ",afraid,very negative
My boy just get is first job. I feel really proud of him.,impressed,very positive
"I once told a co worker about an upcoming job promotion and they applied for it themselves, but also made me look bad in the process.",annoyed,negative
"My best friend and roommate got accepted into a competitive master's program in Chicago and broke our lease to leave. I felt stuck while he got off and do the things he wanted to do.  He made me feel like I wasn't good enough anymore to be his friend. Meanwhile, I stayed in town and struggled to even finish my bachelor's while working a dead end job. ",jealous,negative
I am so exited about the coming world cup final.,excited,very positive
I am so disgust at Donald Trump.,disgusted,very negative
One time i was at a party with friends. I for some reason thought people were driving in my car to the next place. Then ended up they weren't going in my car and i felt embarrassed yelling at them.,embarrassed,negative
I studied really hard for my annual exam but did not get my desired grade. it left me very disappointed in myself. ,disappointed,negative
I recently broke up with my girlfriend and i feel lonely.,lonely,negative
"I decided to I would buy a few lottery tickets. My luck is normally not all that great. I scratched the 3 lottery tickets I bought and won $50,000!",excited,very positive
I was traveling to my daughters new house at night and I was feeling a little anxious about not finding her house.,apprehensive,negative
I think the future will be brighter and conflicts between countries will be smoothed over.,hopeful,very positive
It was a time of my life where i liked spooky things. I went into a abandoned house and i decided to spend the night. Well i started hearing noises and voices and i just was so scared i ran out the house.,terrified,very negative
The day I started working my first government IT Job was an exciting day for me.,proud,very positive
"During Hurricane Irma last year, tarps, water, batteries and other supplies sold out way ahead of the storm. I managed to gather the things we needed over the course of the next week, ahead of the storm.",prepared,positive
My car broke down when I was travelling to work and I missed a very important meeting regarding my promotion. I was devastated.,devastated,very negative
"During college, I was bullied.",annoyed,negative
My family went on vacation and left me all alone.,lonely,negative
